"","airport_name","carrier_name","reason","avg_delay"
"27","Aguadilla, PR: Rafael Hernandez","United Air Lines Inc.","Late Aircraft",75.8531170812443
"28","Aguadilla, PR: Rafael Hernandez","United Air Lines Inc.","National Air Systems",52.1880234210804
"29","Aguadilla, PR: Rafael Hernandez","United Air Lines Inc.","Weather",120.085963728094
"30","Akron, OH: Akron-Canton Regional","AirTran Airways Corporation","Carrier",53.7830268192782
"31","Akron, OH: Akron-Canton Regional","AirTran Airways Corporation","Late Aircraft",74.6581662707777
"32","Akron, OH: Akron-Canton Regional","AirTran Airways Corporation","National Air Systems",37.7069349591436
"33","Akron, OH: Akron-Canton Regional","AirTran Airways Corporation","Weather",62.4556614772175
"34","Akron, OH: Akron-Canton Regional","Delta Air Lines Inc.","Carrier",42.4495388265797
"35","Akron, OH: Akron-Canton Regional","Delta Air Lines Inc.","Late Aircraft",46.0953548683616
"36","Akron, OH: Akron-Canton Regional","Delta Air Lines Inc.","National Air Systems",31.5463986787097
"37","Akron, OH: Akron-Canton Regional","Delta Air Lines Inc.","Weather",63.1222459132907
"38","Akron, OH: Akron-Canton Regional","ExpressJet Airlines Inc.","Carrier",58.4204137167391
"39","Akron, OH: Akron-Canton Regional","ExpressJet Airlines Inc.","Late Aircraft",62.645378886561
"40","Akron, OH: Akron-Canton Regional","ExpressJet Airlines Inc.","National Air Systems",51.4259052047893
"41","Akron, OH: Akron-Canton Regional","ExpressJet Airlines Inc.","Weather",99.3996305418719
"42","Akron, OH: Akron-Canton Regional","Southwest Airlines Co.","Carrier",61.9752913030382
"43","Akron, OH: Akron-Canton Regional","Southwest Airlines Co.","Late Aircraft",70.9458809941354
"44","Akron, OH: Akron-Canton Regional","Southwest Airlines Co.","National Air Systems",38.1182128264513
"45","Akron, OH: Akron-Canton Regional","Southwest Airlines Co.","Security",20
"46","Akron, OH: Akron-Canton Regional","Southwest Airlines Co.","Weather",108.580135632687
"47","Albany, GA: Southwest Georgia Regional","ExpressJet Airlines Inc.","Carrier",51.7656494664587
"48","Albany, GA: Southwest Georgia Regional","ExpressJet Airlines Inc.","Late Aircraft",44.0578944504758
"49","Albany, GA: Southwest Georgia Regional","ExpressJet Airlines Inc.","National Air Systems",50.1838976156757
"50","Albany, GA: Southwest Georgia Regional","ExpressJet Airlines Inc.","Weather",99.6716962242563
"51","Albany, NY: Albany International","Delta Air Lines Inc.","Carrier",45.6220006931636
"52","Albany, NY: Albany International","Delta Air Lines Inc.","Late Aircraft",45.1903791109717
"53","Albany, NY: Albany International","Delta Air Lines Inc.","National Air Systems",31.2724318008394
"54","Albany, NY: Albany International","Delta Air Lines Inc.","Weather",69.5222779244579
"55","Albany, NY: Albany International","ExpressJet Airlines Inc.","Carrier",57.3104700949683
"56","Albany, NY: Albany International","ExpressJet Airlines Inc.","Late Aircraft",64.7576764219126
"57","Albany, NY: Albany International","ExpressJet Airlines Inc.","National Air Systems",52.6188782381922
"58","Albany, NY: Albany International","ExpressJet Airlines Inc.","Security",32.0754716981132
"59","Albany, NY: Albany International","ExpressJet Airlines Inc.","Weather",90.3286561264822
"60","Albany, NY: Albany International","SkyWest Airlines Inc.","Carrier",54.9869426166026
"61","Albany, NY: Albany International","SkyWest Airlines Inc.","Late Aircraft",95.6071430558608
"62","Albany, NY: Albany International","SkyWest Airlines Inc.","National Air Systems",33.446645906406
"63","Albany, NY: Albany International","SkyWest Airlines Inc.","Weather",66.6666666666667
"64","Albany, NY: Albany International","Southwest Airlines Co.","Carrier",51.6038880289403
"65","Albany, NY: Albany International","Southwest Airlines Co.","Late Aircraft",60.6537473013926
"66","Albany, NY: Albany International","Southwest Airlines Co.","National Air Systems",40.0276717186682
"67","Albany, NY: Albany International","Southwest Airlines Co.","Security",64
"68","Albany, NY: Albany International","Southwest Airlines Co.","Weather",83.4850701322863
"69","Albany, NY: Albany International","United Air Lines Inc.","Carrier",67.2363429396294
"70","Albany, NY: Albany International","United Air Lines Inc.","Late Aircraft",84.1881616687362
"71","Albany, NY: Albany International","United Air Lines Inc.","National Air Systems",46.873695881646
"72","Albany, NY: Albany International","United Air Lines Inc.","Weather",90.6888110670656
"73","Albany, NY: Albany International","US Airways Inc.","Carrier",42.2905383072804
"74","Albany, NY: Albany International","US Airways Inc.","Late Aircraft",49.3052460941112
"75","Albany, NY: Albany International","US Airways Inc.","National Air Systems",29.6007027354369
"76","Albany, NY: Albany International","US Airways Inc.","Security",31
"77","Albany, NY: Albany International","US Airways Inc.","Weather",68.7384999758149
"78","Albuquerque, NM: Albuquerque International Sunport","Alaska Airlines Inc.","Carrier",30
"79","Albuquerque, NM: Albuquerque International Sunport","Alaska Airlines Inc.","National Air Systems",22.8333333333333
"80","Albuquerque, NM: Albuquerque International Sunport","American Airlines Inc.","Carrier",46.7318748164384
"81","Albuquerque, NM: Albuquerque International Sunport","American Airlines Inc.","Late Aircraft",59.9726516944778
"82","Albuquerque, NM: Albuquerque International Sunport","American Airlines Inc.","National Air Systems",36.053964215965
"83","Albuquerque, NM: Albuquerque International Sunport","American Airlines Inc.","Weather",87.0355437722393
"84","Albuquerque, NM: Albuquerque International Sunport","American Eagle Airlines Inc.","Carrier",55.2384487228398
"85","Albuquerque, NM: Albuquerque International Sunport","American Eagle Airlines Inc.","Late Aircraft",61.8855165450045
"86","Albuquerque, NM: Albuquerque International Sunport","American Eagle Airlines Inc.","National Air Systems",34.9142969817327
"87","Albuquerque, NM: Albuquerque International Sunport","Delta Air Lines Inc.","Carrier",49.5774672855185
"88","Albuquerque, NM: Albuquerque International Sunport","Delta Air Lines Inc.","Late Aircraft",48.65517540969
"89","Albuquerque, NM: Albuquerque International Sunport","Delta Air Lines Inc.","National Air Systems",34.4937478587662
"90","Albuquerque, NM: Albuquerque International Sunport","Delta Air Lines Inc.","Weather",46.9338258449313
"91","Albuquerque, NM: Albuquerque International Sunport","Envoy Air","Carrier",45.9043906189265
"92","Albuquerque, NM: Albuquerque International Sunport","Envoy Air","Late Aircraft",66.1869194742441
"93","Albuquerque, NM: Albuquerque International Sunport","Envoy Air","National Air Systems",45.4802322989598
"94","Albuquerque, NM: Albuquerque International Sunport","Envoy Air","Security",75.9036144578313
"95","Albuquerque, NM: Albuquerque International Sunport","Envoy Air","Weather",100.873969701156
"96","Albuquerque, NM: Albuquerque International Sunport","ExpressJet Airlines Inc.","Carrier",61.2661671916118
"97","Albuquerque, NM: Albuquerque International Sunport","ExpressJet Airlines Inc.","Late Aircraft",71.635360795015
"98","Albuquerque, NM: Albuquerque International Sunport","ExpressJet Airlines Inc.","National Air Systems",45.1886776419507
"99","Albuquerque, NM: Albuquerque International Sunport","ExpressJet Airlines Inc.","Weather",99.6675176997626
"100","Albuquerque, NM: Albuquerque International Sunport","Frontier Airlines Inc.","Carrier",93.9393939393939
"101","Albuquerque, NM: Albuquerque International Sunport","Frontier Airlines Inc.","Late Aircraft",101.010101010101
"102","Albuquerque, NM: Albuquerque International Sunport","Frontier Airlines Inc.","National Air Systems",67.1641791044776
"103","Albuquerque, NM: Albuquerque International Sunport","Frontier Airlines Inc.","Weather",200
"104","Albuquerque, NM: Albuquerque International Sunport","JetBlue Airways","Carrier",45.7726354966227
"105","Albuquerque, NM: Albuquerque International Sunport","JetBlue Airways","Late Aircraft",55.0914909446374
"106","Albuquerque, NM: Albuquerque International Sunport","JetBlue Airways","National Air Systems",48.909575985199
"107","Albuquerque, NM: Albuquerque International Sunport","JetBlue Airways","Security",54.7247247247247
"108","Albuquerque, NM: Albuquerque International Sunport","JetBlue Airways","Weather",103.604176628581
"109","Albuquerque, NM: Albuquerque International Sunport","SkyWest Airlines Inc.","Carrier",58.5490084937328
"110","Albuquerque, NM: Albuquerque International Sunport","SkyWest Airlines Inc.","Late Aircraft",59.336541970807
"111","Albuquerque, NM: Albuquerque International Sunport","SkyWest Airlines Inc.","National Air Systems",28.9602184283792
"112","Albuquerque, NM: Albuquerque International Sunport","SkyWest Airlines Inc.","Security",16.9014084507042
"113","Albuquerque, NM: Albuquerque International Sunport","SkyWest Airlines Inc.","Weather",60.270049968374
"114","Albuquerque, NM: Albuquerque International Sunport","Southwest Airlines Co.","Carrier",42.0032997230978
"115","Albuquerque, NM: Albuquerque International Sunport","Southwest Airlines Co.","Late Aircraft",52.9579152420057
"116","Albuquerque, NM: Albuquerque International Sunport","Southwest Airlines Co.","National Air Systems",34.1232092171959
"117","Albuquerque, NM: Albuquerque International Sunport","Southwest Airlines Co.","Security",37.8366525750935
"118","Albuquerque, NM: Albuquerque International Sunport","Southwest Airlines Co.","Weather",52.0663592851852
"119","Albuquerque, NM: Albuquerque International Sunport","United Air Lines Inc.","Carrier",69.9604021806889
"120","Albuquerque, NM: Albuquerque International Sunport","United Air Lines Inc.","Late Aircraft",75.0639415099089
"121","Albuquerque, NM: Albuquerque International Sunport","United Air Lines Inc.","National Air Systems",39.019924546354
"122","Albuquerque, NM: Albuquerque International Sunport","United Air Lines Inc.","Weather",109.672619047619
"123","Albuquerque, NM: Albuquerque International Sunport","US Airways Inc.","Carrier",17
"124","Albuquerque, NM: Albuquerque International Sunport","US Airways Inc.","National Air Systems",23.943661971831
"125","Albuquerque, NM: Albuquerque International Sunport","US Airways Inc.","Security",24.1379310344828
"126","Alexandria, LA: Alexandria International","American Eagle Airlines Inc.","Carrier",39.1306960901229
"127","Alexandria, LA: Alexandria International","American Eagle Airlines Inc.","Late Aircraft",50.9650512743517
"128","Alexandria, LA: Alexandria International","American Eagle Airlines Inc.","National Air Systems",31.3140964042867
"129","Alexandria, LA: Alexandria International","American Eagle Airlines Inc.","Weather",50.4768270944742
"130","Alexandria, LA: Alexandria International","Envoy Air","Carrier",45.1721795829798
"131","Alexandria, LA: Alexandria International","Envoy Air","Late Aircraft",48.8897685769481
"132","Alexandria, LA: Alexandria International","Envoy Air","National Air Systems",32.5436657365564
"133","Alexandria, LA: Alexandria International","Envoy Air","Security",61.5384615384615
"134","Alexandria, LA: Alexandria International","Envoy Air","Weather",58.063803650909
"135","Alexandria, LA: Alexandria International","ExpressJet Airlines Inc.","Carrier",57.7577398726901
"136","Alexandria, LA: Alexandria International","ExpressJet Airlines Inc.","Late Aircraft",59.3173337246157
"137","Alexandria, LA: Alexandria International","ExpressJet Airlines Inc.","National Air Systems",44.649817626882
"138","Alexandria, LA: Alexandria International","ExpressJet Airlines Inc.","Weather",90.6376237562056
"139","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Delta Air Lines Inc.","Carrier",52.8887969499451
"140","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Delta Air Lines Inc.","Late Aircraft",81.4790563161121
"141","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Delta Air Lines Inc.","National Air Systems",29.9169474328609
"142","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","Delta Air Lines Inc.","Weather",51.9480519480519
"143","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","ExpressJet Airlines Inc.","Carrier",61.0528100637755
"144","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","ExpressJet Airlines Inc.","Late Aircraft",59.6309864241452
"145","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","ExpressJet Airlines Inc.","National Air Systems",42.3626508985597
"146","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","ExpressJet Airlines Inc.","Weather",131.125935281185
"147","Alpena, MI: Alpena County Regional","SkyWest Airlines Inc.","Carrier",56.4211985792407
"148","Alpena, MI: Alpena County Regional","SkyWest Airlines Inc.","Late Aircraft",88.1846920237206
"149","Alpena, MI: Alpena County Regional","SkyWest Airlines Inc.","National Air Systems",29.1518754303068
"150","Alpena, MI: Alpena County Regional","SkyWest Airlines Inc.","Weather",74.5396492565764
"151","Amarillo, TX: Rick Husband Amarillo International","American Eagle Airlines Inc.","Carrier",42.4085750315258
"152","Amarillo, TX: Rick Husband Amarillo International","American Eagle Airlines Inc.","Late Aircraft",51.1665131376936
"153","Amarillo, TX: Rick Husband Amarillo International","American Eagle Airlines Inc.","National Air Systems",46.2731361356167
"154","Amarillo, TX: Rick Husband Amarillo International","American Eagle Airlines Inc.","Weather",152.866242038217
"155","Amarillo, TX: Rick Husband Amarillo International","Envoy Air","Carrier",49.8991329279139
"156","Amarillo, TX: Rick Husband Amarillo International","Envoy Air","Late Aircraft",54.037200120837
"157","Amarillo, TX: Rick Husband Amarillo International","Envoy Air","National Air Systems",37.5159495717117
"158","Amarillo, TX: Rick Husband Amarillo International","Envoy Air","Security",38.8382833231272
"159","Amarillo, TX: Rick Husband Amarillo International","Envoy Air","Weather",85.3316926016153
"160","Amarillo, TX: Rick Husband Amarillo International","ExpressJet Airlines Inc.","Carrier",67.009715741796
"161","Amarillo, TX: Rick Husband Amarillo International","ExpressJet Airlines Inc.","Late Aircraft",59.6765283595533
"162","Amarillo, TX: Rick Husband Amarillo International","ExpressJet Airlines Inc.","National Air Systems",42.4717809915984
"163","Amarillo, TX: Rick Husband Amarillo International","ExpressJet Airlines Inc.","Weather",123.90675990676
"164","Amarillo, TX: Rick Husband Amarillo International","SkyWest Airlines Inc.","Carrier",64.9996446971043
"165","Amarillo, TX: Rick Husband Amarillo International","SkyWest Airlines Inc.","Late Aircraft",61.7499046892871
"166","Amarillo, TX: Rick Husband Amarillo International","SkyWest Airlines Inc.","National Air Systems",46.2986410061619
"167","Amarillo, TX: Rick Husband Amarillo International","Southwest Airlines Co.","Carrier",43.6832358179836
"168","Amarillo, TX: Rick Husband Amarillo International","Southwest Airlines Co.","Late Aircraft",54.1144762448788
"169","Amarillo, TX: Rick Husband Amarillo International","Southwest Airlines Co.","National Air Systems",43.60623966664
"170","Amarillo, TX: Rick Husband Amarillo International","Southwest Airlines Co.","Weather",78.5047838412645
"171","Anchorage, AK: Ted Stevens Anchorage International","Alaska Airlines Inc.","Carrier",56.6052089239172
"172","Anchorage, AK: Ted Stevens Anchorage International","Alaska Airlines Inc.","Late Aircraft",67.9460721572868
"173","Anchorage, AK: Ted Stevens Anchorage International","Alaska Airlines Inc.","National Air Systems",27.4817076672603
"174","Anchorage, AK: Ted Stevens Anchorage International","Alaska Airlines Inc.","Security",34.4366465344481
"175","Anchorage, AK: Ted Stevens Anchorage International","Alaska Airlines Inc.","Weather",46.2817393358701
"176","Anchorage, AK: Ted Stevens Anchorage International","American Airlines Inc.","Carrier",42.7726664454194
"177","Anchorage, AK: Ted Stevens Anchorage International","American Airlines Inc.","Late Aircraft",47.2961510184198
"178","Anchorage, AK: Ted Stevens Anchorage International","American Airlines Inc.","National Air Systems",30.0607954894103
"179","Anchorage, AK: Ted Stevens Anchorage International","American Airlines Inc.","Weather",68.9189189189189
"180","Anchorage, AK: Ted Stevens Anchorage International","Delta Air Lines Inc.","Carrier",59.5318393850475
"181","Anchorage, AK: Ted Stevens Anchorage International","Delta Air Lines Inc.","Late Aircraft",42.3623065966628
"182","Anchorage, AK: Ted Stevens Anchorage International","Delta Air Lines Inc.","National Air Systems",30.9370002805502
"183","Anchorage, AK: Ted Stevens Anchorage International","Delta Air Lines Inc.","Weather",62.4742175835867
"184","Anchorage, AK: Ted Stevens Anchorage International","Frontier Airlines Inc.","Carrier",28.8155646840824
"185","Anchorage, AK: Ted Stevens Anchorage International","Frontier Airlines Inc.","Late Aircraft",51.7603942511946
"186","Anchorage, AK: Ted Stevens Anchorage International","Frontier Airlines Inc.","National Air Systems",31.8610634834663
"187","Anchorage, AK: Ted Stevens Anchorage International","Frontier Airlines Inc.","Weather",32.0048309178744
"188","Anchorage, AK: Ted Stevens Anchorage International","JetBlue Airways","Carrier",52.8362940154937
"189","Anchorage, AK: Ted Stevens Anchorage International","JetBlue Airways","Late Aircraft",48.7037833411513
"190","Anchorage, AK: Ted Stevens Anchorage International","JetBlue Airways","National Air Systems",29.1717695533898
"191","Anchorage, AK: Ted Stevens Anchorage International","United Air Lines Inc.","Carrier",43.8456766922375
"192","Anchorage, AK: Ted Stevens Anchorage International","United Air Lines Inc.","Late Aircraft",71.1996555472294
"193","Anchorage, AK: Ted Stevens Anchorage International","United Air Lines Inc.","National Air Systems",39.4838382654556
"194","Anchorage, AK: Ted Stevens Anchorage International","United Air Lines Inc.","Weather",83.0740422322848
"195","Anchorage, AK: Ted Stevens Anchorage International","US Airways Inc.","Carrier",38.5930923102882
"196","Anchorage, AK: Ted Stevens Anchorage International","US Airways Inc.","Late Aircraft",48.8413013317929
"197","Anchorage, AK: Ted Stevens Anchorage International","US Airways Inc.","National Air Systems",27.3941932711305
"198","Anchorage, AK: Ted Stevens Anchorage International","US Airways Inc.","Security",32.6371826371826
"199","Anchorage, AK: Ted Stevens Anchorage International","US Airways Inc.","Weather",86.4130434782609
"200","Appleton, WI: Outagamie County Regional","Delta Air Lines Inc.","Carrier",42.5964021729451
"201","Appleton, WI: Outagamie County Regional","Delta Air Lines Inc.","Late Aircraft",33.2857142857143
"202","Appleton, WI: Outagamie County Regional","Delta Air Lines Inc.","National Air Systems",28.144560588463
"203","Appleton, WI: Outagamie County Regional","Delta Air Lines Inc.","Weather",40.7575757575758
"204","Appleton, WI: Outagamie County Regional","ExpressJet Airlines Inc.","Carrier",58.0494930930365
"205","Appleton, WI: Outagamie County Regional","ExpressJet Airlines Inc.","Late Aircraft",56.5982913483112
"206","Appleton, WI: Outagamie County Regional","ExpressJet Airlines Inc.","National Air Systems",43.0578336752898
"207","Appleton, WI: Outagamie County Regional","ExpressJet Airlines Inc.","Security",20
"208","Appleton, WI: Outagamie County Regional","ExpressJet Airlines Inc.","Weather",71.4910796769449
"209","Appleton, WI: Outagamie County Regional","SkyWest Airlines Inc.","Carrier",72.7921490310621
"210","Appleton, WI: Outagamie County Regional","SkyWest Airlines Inc.","Late Aircraft",62.649119745599
"211","Appleton, WI: Outagamie County Regional","SkyWest Airlines Inc.","National Air Systems",42.0116185370664
"212","Appleton, WI: Outagamie County Regional","SkyWest Airlines Inc.","Weather",143.741818033055
"213","Arcata/Eureka, CA: Arcata","SkyWest Airlines Inc.","Carrier",76.3388185255011
"214","Arcata/Eureka, CA: Arcata","SkyWest Airlines Inc.","Late Aircraft",69.4441402757438
"215","Arcata/Eureka, CA: Arcata","SkyWest Airlines Inc.","National Air Systems",37.5288790487108
"216","Arcata/Eureka, CA: Arcata","SkyWest Airlines Inc.","Weather",93.4118379619048
"217","Asheville, NC: Asheville Regional","Delta Air Lines Inc.","Carrier",68.9882582664869
"218","Asheville, NC: Asheville Regional","Delta Air Lines Inc.","Late Aircraft",54.4931396168022
"219","Asheville, NC: Asheville Regional","Delta Air Lines Inc.","National Air Systems",41.6569374428993
"220","Asheville, NC: Asheville Regional","Delta Air Lines Inc.","Weather",60.2518135749272
"221","Asheville, NC: Asheville Regional","ExpressJet Airlines Inc.","Carrier",53.4441311545141
"222","Asheville, NC: Asheville Regional","ExpressJet Airlines Inc.","Late Aircraft",53.76939140654
"223","Asheville, NC: Asheville Regional","ExpressJet Airlines Inc.","National Air Systems",43.9316667217648
"224","Asheville, NC: Asheville Regional","ExpressJet Airlines Inc.","Weather",150.305211006558
"225","Asheville, NC: Asheville Regional","SkyWest Airlines Inc.","Carrier",65.1949724449183
"226","Asheville, NC: Asheville Regional","SkyWest Airlines Inc.","Late Aircraft",63.5287939535078
"227","Asheville, NC: Asheville Regional","SkyWest Airlines Inc.","National Air Systems",52.9522100200787
"228","Asheville, NC: Asheville Regional","SkyWest Airlines Inc.","Security",18.75
"229","Asheville, NC: Asheville Regional","SkyWest Airlines Inc.","Weather",136.511183851609
"230","Aspen, CO: Aspen Pitkin County Sardy Field","American Eagle Airlines Inc.","Carrier",61.6980550158525
"231","Aspen, CO: Aspen Pitkin County Sardy Field","American Eagle Airlines Inc.","Late Aircraft",57.4472558610646
"232","Aspen, CO: Aspen Pitkin County Sardy Field","American Eagle Airlines Inc.","National Air Systems",41.7851606341246
"233","Aspen, CO: Aspen Pitkin County Sardy Field","American Eagle Airlines Inc.","Weather",62.4868143459916
"234","Aspen, CO: Aspen Pitkin County Sardy Field","Envoy Air","Carrier",63.2529306121613
"235","Aspen, CO: Aspen Pitkin County Sardy Field","Envoy Air","Late Aircraft",99.1410193004393
"236","Aspen, CO: Aspen Pitkin County Sardy Field","Envoy Air","National Air Systems",49.7021801652626
"237","Aspen, CO: Aspen Pitkin County Sardy Field","Envoy Air","Weather",71.5960987722648
"238","Aspen, CO: Aspen Pitkin County Sardy Field","SkyWest Airlines Inc.","Carrier",53.0381316276331
"239","Aspen, CO: Aspen Pitkin County Sardy Field","SkyWest Airlines Inc.","Late Aircraft",56.0606870860489
"240","Aspen, CO: Aspen Pitkin County Sardy Field","SkyWest Airlines Inc.","National Air Systems",40.4822699249488
"241","Aspen, CO: Aspen Pitkin County Sardy Field","SkyWest Airlines Inc.","Security",38.9705882352941
"242","Aspen, CO: Aspen Pitkin County Sardy Field","SkyWest Airlines Inc.","Weather",72.7410393238216
"243","Atlanta, GA: Hartsfield-Jackson Atlanta International","AirTran Airways Corporation","Carrier",54.9423999183821
"244","Atlanta, GA: Hartsfield-Jackson Atlanta International","AirTran Airways Corporation","Late Aircraft",66.9202952625515
"245","Atlanta, GA: Hartsfield-Jackson Atlanta International","AirTran Airways Corporation","National Air Systems",35.3123980807816
"246","Atlanta, GA: Hartsfield-Jackson Atlanta International","AirTran Airways Corporation","Weather",64.6712046022578
"247","Atlanta, GA: Hartsfield-Jackson Atlanta International","Alaska Airlines Inc.","Carrier",46.3421299000577
"248","Atlanta, GA: Hartsfield-Jackson Atlanta International","Alaska Airlines Inc.","Late Aircraft",31.5347668453874
"249","Atlanta, GA: Hartsfield-Jackson Atlanta International","Alaska Airlines Inc.","National Air Systems",27.093672194071
"250","Atlanta, GA: Hartsfield-Jackson Atlanta International","Alaska Airlines Inc.","Weather",33.5555555555556
"251","Atlanta, GA: Hartsfield-Jackson Atlanta International","American Airlines Inc.","Carrier",49.8026022027724
"252","Atlanta, GA: Hartsfield-Jackson Atlanta International","American Airlines Inc.","Late Aircraft",60.2848589932504
"253","Atlanta, GA: Hartsfield-Jackson Atlanta International","American Airlines Inc.","National Air Systems",39.9507904959118
"254","Atlanta, GA: Hartsfield-Jackson Atlanta International","American Airlines Inc.","Security",80.4878048780488
"255","Atlanta, GA: Hartsfield-Jackson Atlanta International","American Airlines Inc.","Weather",64.4048983277398
"256","Atlanta, GA: Hartsfield-Jackson Atlanta International","American Eagle Airlines Inc.","Carrier",50.6580039810877
"257","Atlanta, GA: Hartsfield-Jackson Atlanta International","American Eagle Airlines Inc.","Late Aircraft",63.8016956112124
"258","Atlanta, GA: Hartsfield-Jackson Atlanta International","American Eagle Airlines Inc.","National Air Systems",37.8811095156282
"259","Atlanta, GA: Hartsfield-Jackson Atlanta International","American Eagle Airlines Inc.","Weather",60.7677428149192
"260","Atlanta, GA: Hartsfield-Jackson Atlanta International","Delta Air Lines Inc.","Carrier",93.4902656309419
"261","Atlanta, GA: Hartsfield-Jackson Atlanta International","Delta Air Lines Inc.","Late Aircraft",57.7842024132106
"262","Atlanta, GA: Hartsfield-Jackson Atlanta International","Delta Air Lines Inc.","National Air Systems",40.5517755209454
"263","Atlanta, GA: Hartsfield-Jackson Atlanta International","Delta Air Lines Inc.","Security",79.300053768889
"264","Atlanta, GA: Hartsfield-Jackson Atlanta International","Delta Air Lines Inc.","Weather",93.8852785815398
"265","Atlanta, GA: Hartsfield-Jackson Atlanta International","Envoy Air","Carrier",48.4579410485281
"266","Atlanta, GA: Hartsfield-Jackson Atlanta International","Envoy Air","Late Aircraft",42.2861996237787
"267","Atlanta, GA: Hartsfield-Jackson Atlanta International","Envoy Air","National Air Systems",38.3734472249079
"268","Atlanta, GA: Hartsfield-Jackson Atlanta International","Envoy Air","Weather",52.621180430233
"269","Atlanta, GA: Hartsfield-Jackson Atlanta International","ExpressJet Airlines Inc.","Carrier",89.1219010202665
"270","Atlanta, GA: Hartsfield-Jackson Atlanta International","ExpressJet Airlines Inc.","Late Aircraft",65.3112242629986
"271","Atlanta, GA: Hartsfield-Jackson Atlanta International","ExpressJet Airlines Inc.","National Air Systems",39.6971227893098
"272","Atlanta, GA: Hartsfield-Jackson Atlanta International","ExpressJet Airlines Inc.","Security",39.7667837941744
"273","Atlanta, GA: Hartsfield-Jackson Atlanta International","ExpressJet Airlines Inc.","Weather",98.1066171849095
"274","Atlanta, GA: Hartsfield-Jackson Atlanta International","Frontier Airlines Inc.","Carrier",66.5634947472402
"275","Atlanta, GA: Hartsfield-Jackson Atlanta International","Frontier Airlines Inc.","Late Aircraft",90.9409965379935
"276","Atlanta, GA: Hartsfield-Jackson Atlanta International","Frontier Airlines Inc.","National Air Systems",45.9226187826991
"277","Atlanta, GA: Hartsfield-Jackson Atlanta International","Frontier Airlines Inc.","Weather",88.8419260478084
"278","Atlanta, GA: Hartsfield-Jackson Atlanta International","SkyWest Airlines Inc.","Carrier",58.3465597464247
"279","Atlanta, GA: Hartsfield-Jackson Atlanta International","SkyWest Airlines Inc.","Late Aircraft",63.0625184937349
"280","Atlanta, GA: Hartsfield-Jackson Atlanta International","SkyWest Airlines Inc.","National Air Systems",37.9293639060065
"281","Atlanta, GA: Hartsfield-Jackson Atlanta International","SkyWest Airlines Inc.","Security",16.6206896551724
"282","Atlanta, GA: Hartsfield-Jackson Atlanta International","SkyWest Airlines Inc.","Weather",92.1245118248208
"283","Atlanta, GA: Hartsfield-Jackson Atlanta International","Southwest Airlines Co.","Carrier",48.7282274805359
